pair_count,metric,n_resamples,mean,median,q025,q975
8,raw_cosine,200,0.4148838566988707,0.4198264628648758,0.2767306812107563,0.5255664393305779
8,masked_cosine,200,0.5210330229997635,0.5287340581417084,0.3750268593430519,0.62983058989048
8,norm_agreement,200,0.9123515966012338,0.9263157032856995,0.7732702392180395,0.996044303999698
16,raw_cosine,200,0.5839020657539368,0.5871532261371613,0.4958501860499382,0.6610127225518226
16,masked_cosine,200,0.6863649871945381,0.690536767244339,0.5965903043746948,0.7461214035749436
16,norm_agreement,200,0.9171960001367944,0.9241618553978026,0.7736996449352865,0.9980318731699183
32,raw_cosine,200,0.7420538768172265,0.7461926937103271,0.6886687085032464,0.7783647283911705
32,masked_cosine,200,0.8164456489682198,0.8189014792442322,0.7728403151035309,0.8405792191624641
32,norm_agreement,200,0.9337531123785715,0.9437905567536438,0.8252376664017025,0.9979155574229323
