pair_count,resample,raw_cosine,masked_cosine,norm_agreement,left_to_full_cosine,right_to_full_cosine
8,0,0.46606653928756714,0.5803434252738953,0.9718203754696179,0.72503662109375,0.7484453916549683
8,1,0.41021132469177246,0.5127230882644653,0.9469007992555479,0.6650862693786621,0.6769994497299194
8,2,0.5098339319229126,0.5849095582962036,0.8554272650234699,0.7548264265060425,0.6844905018806458
8,3,0.38000646233558655,0.46147066354751587,0.9722965322112863,0.6509145498275757,0.6578081250190735
8,4,0.4132070541381836,0.5179525017738342,0.9747156271161689,0.6427392363548279,0.7728421688079834
8,5,0.4340808689594269,0.5551762580871582,0.9635241036636039,0.7291964292526245,0.69022136926651
8,6,0.44788283109664917,0.5021668672561646,0.9239056981403326,0.7420269846916199,0.6980977654457092
8,7,0.3967328369617462,0.5490987300872803,0.9862295922045176,0.6942722201347351,0.6659983396530151
8,8,0.44735264778137207,0.5530884861946106,0.7235620054475111,0.7208449840545654,0.704721987247467
8,9,0.49415770173072815,0.5608212947845459,0.9498848920223976,0.7292386293411255,0.6872722506523132
8,10,0.4656115472316742,0.535521388053894,0.8387126087856652,0.6670367121696472,0.7409695982933044
8,11,0.4449106454849243,0.546271800994873,0.9620027085747117,0.7272124290466309,0.6723111867904663
8,12,0.42241203784942627,0.5094990134239197,0.9631584057299377,0.6838603019714355,0.7386506795883179
8,13,0.4283507466316223,0.5435537695884705,0.9674999404565665,0.6760456562042236,0.7295007109642029
8,14,0.43235182762145996,0.5372685790061951,0.9659702265092304,0.7194201946258545,0.712901771068573
8,15,0.3584195375442505,0.47873392701148987,0.9622209752038384,0.6589137315750122,0.7229974269866943
8,16,0.4096018373966217,0.5154168009757996,0.9026372227474361,0.6451140642166138,0.753197431564331
8,17,0.4562394320964813,0.5518485307693481,0.9767897951015454,0.7086906433105469,0.7036944627761841
8,18,0.4242591857910156,0.5210517048835754,0.7912928601061142,0.7502760887145996,0.6961397528648376
8,19,0.29979509115219116,0.35464712977409363,0.8106640524010396,0.5966877341270447,0.6742271780967712
8,20,0.3735416829586029,0.4383300840854645,0.7929430657886116,0.673177182674408,0.6470906734466553
8,21,0.5037565231323242,0.6146992444992065,0.8943108622076638,0.7317755222320557,0.7450250387191772
8,22,0.4636994004249573,0.5940015912055969,0.9887820487648448,0.7355514764785767,0.7123790979385376
8,23,0.424821674823761,0.5258310437202454,0.7598310829102807,0.7723772525787354,0.6666408777236938
8,24,0.4885631501674652,0.6043885946273804,0.8708568341776751,0.7597471475601196,0.6870888471603394
8,25,0.47564995288848877,0.5894535183906555,0.9697750965873937,0.7324107885360718,0.7330732345581055
8,26,0.4635626971721649,0.5705820322036743,0.923808331587205,0.7226059436798096,0.6876229047775269
8,27,0.4957023859024048,0.5965112447738647,0.8738169496156809,0.684341549873352,0.7027479410171509
8,28,0.4125667214393616,0.5096659660339355,0.8348055735111494,0.6394289135932922,0.7133578062057495
8,29,0.4470030665397644,0.5428759455680847,0.8408337565778845,0.7206125855445862,0.6906604766845703
8,30,0.5047816038131714,0.6093704700469971,0.9238626126544759,0.7159116268157959,0.7541298270225525
