method,alpha,metric,n_seeds,n_missing,mean,std,median,ci_low,ci_high
posthoc_latent,-1.5,skin_tone_change,29,1,-5.155389049606877,6.422711747891715,-5.569811711613369,-7.387660031831479,-2.855458402000295
posthoc_latent,-1.5,lightness_change,29,1,5.228014495756923,2.8723797344666258,5.262314869948312,4.1749840215262015,6.2270360725872145
posthoc_latent,-1.5,face_similarity,30,0,0.9727559427420296,0.016355234192710323,0.9764065146446226,0.966737809727589,0.9782312230269111
posthoc_latent,-1.5,landmark_rmse,0,30,,,,,
posthoc_latent,-1.5,lpips,30,0,0.06695386978487114,0.01120135549046785,0.06506795622408301,0.06308942042291103,0.07103444133264267
posthoc_latent,-1.5,background_ssim,30,0,0.9877366784538718,0.015562893417808072,0.9903571388215171,0.9814521445467695,0.992468974169939
posthoc_latent,-1.5,overall_ssim,30,0,0.9217540747359262,0.021423762766366736,0.9269903846139507,0.9138737039219622,0.9288891881935089
posthoc_latent,-1.5,total_pose_diff,30,0,1.8642125738166817,1.0704776199839316,1.608881484855123,1.5108300151019272,2.266641667875557
posthoc_latent,-1.0,skin_tone_change,30,0,-4.5491710601880095,4.570942089982097,-4.968528591432445,-6.143126623251328,-2.918035351420013
posthoc_latent,-1.0,lightness_change,30,0,4.408657640873172,2.1651886512334566,4.587168368706273,3.647125055008062,5.152689851009088
posthoc_latent,-1.0,face_similarity,30,0,0.982314868768056,0.012030324561416802,0.986627280712127,0.9778685038785138,0.9864134229222931
posthoc_latent,-1.0,landmark_rmse,0,30,,,,,
posthoc_latent,-1.0,lpips,30,0,0.036253307511408636,0.006509431079880269,0.0348341967910525,0.03404725628594525,0.038634440647437714
posthoc_latent,-1.0,background_ssim,30,0,0.9911658454308498,0.011191502412238841,0.9929705251475955,0.9866169613562081,0.994559698778697
posthoc_latent,-1.0,overall_ssim,30,0,0.9413166327960397,0.017169756140223768,0.9441117294392781,0.9350301484698356,0.9471424078467082
posthoc_latent,-1.0,total_pose_diff,30,0,1.9001638935085305,1.1105916275370442,1.724676232255261,1.5171512953727435,2.304170476871365
posthoc_latent,-0.5,skin_tone_change,30,0,-2.888428394293786,2.5576881401258302,-3.011096746268084,-3.7690969459262216,-1.9607582981472609
posthoc_latent,-0.5,lightness_change,30,0,2.6087803408712475,1.225045120754192,2.7878186556658022,2.171173590975344,3.0270539626218937
posthoc_latent,-0.5,face_similarity,30,0,0.9873388985792794,0.013225222628626085,0.9948270320892325,0.9824087117115654,0.9916609427332875
posthoc_latent,-0.5,landmark_rmse,0,30,,,,,
posthoc_latent,-0.5,lpips,30,0,0.0122229424305255,0.0027831305886704184,0.011578733567148,0.011285884584454892,0.013242806623068449
posthoc_latent,-0.5,background_ssim,30,0,0.9955315104249862,0.005002900427376632,0.9960697175347355,0.9935082819576726,0.9970917272187054
posthoc_latent,-0.5,overall_ssim,30,0,0.9673357399420142,0.010159535952633471,0.9677317166341166,0.9636005712339084,0.9708078014506477
posthoc_latent,-0.5,total_pose_diff,30,0,1.5625550420149896,1.0028842436736123,1.2510470252690729,1.2291380292254241,1.921759668063744
posthoc_latent,-0.25,skin_tone_change,30,0,-1.5823281451860074,1.2971817570349493,-1.743609765617165,-2.032183278831221,-1.122772117308035
posthoc_latent,-0.25,lightness_change,30,0,1.5341935202796118,0.7324712260859235,1.453786568361096,1.2814256278319345,1.788261843172056
posthoc_latent,-0.25,face_similarity,30,0,0.9933514952659604,0.009312513222997323,0.9974622428417206,0.989678178032239,0.9962572559217608
posthoc_latent,-0.25,landmark_rmse,0,30,,,,,
posthoc_latent,-0.25,lpips,30,0,0.004560194319734467,0.0013082130774643664,0.0041428669355805005,0.004119517001866164,0.005045340719709917
posthoc_latent,-0.25,background_ssim,30,0,0.9976710306463945,0.0019790544054346056,0.9977240737050346,0.9968972775150581,0.9983142754104345
posthoc_latent,-0.25,overall_ssim,30,0,0.983971220931523,0.004868257019958237,0.984301211409178,0.982160225169655,0.9856232616257322
posthoc_latent,-0.25,total_pose_diff,30,0,1.1270579974324082,0.910624474267859,0.8822454776112096,0.8112620480153103,1.4658027345815308
posthoc_latent,0.0,skin_tone_change,30,0,0.0,0.0,0.0,0.0,0.0
posthoc_latent,0.0,lightness_change,30,0,0.0,0.0,0.0,0.0,0.0
posthoc_latent,0.0,face_similarity,30,0,1.0000000198682149,4.5186164424107555e-08,1.0,1.000000003973643,1.000000035762787
posthoc_latent,0.0,landmark_rmse,0,30,,,,,
posthoc_latent,0.0,lpips,30,0,0.0,0.0,0.0,0.0,0.0
posthoc_latent,0.0,background_ssim,30,0,1.0,0.0,1.0,1.0,1.0
posthoc_latent,0.0,overall_ssim,30,0,1.0,0.0,1.0,1.0,1.0
posthoc_latent,0.0,total_pose_diff,30,0,0.0,0.0,0.0,0.0,0.0
posthoc_latent,0.5,skin_tone_change,30,0,3.6810592988866473,3.155255626244541,3.948448459176205,2.5849442986393116,4.7795090807749006
posthoc_latent,0.5,lightness_change,30,0,-3.7984033256427554,1.694580492590104,-3.729865543274037,-4.403076515918051,-3.1954874618191327
posthoc_latent,0.5,face_similarity,30,0,0.9880558967590329,0.012631204821577745,0.9943341016769405,0.9832880149781702,0.992159451494614
posthoc_latent,0.5,landmark_rmse,0,30,,,,,
posthoc_latent,0.5,lpips,30,0,0.011753876724590436,0.0028691155711320668,0.01073411013931,0.010795319393897593,0.01282819721925337
posthoc_latent,0.5,background_ssim,30,0,0.9954898587617739,0.004621469165828965,0.9958300954664936,0.9936497244115493,0.996967103069148
posthoc_latent,0.5,overall_ssim,30,0,0.9647868927145904,0.010671602588662621,0.9651863132378316,0.9608410657623806,0.9684098655765221
posthoc_latent,0.5,total_pose_diff,30,0,1.222166731966216,0.8330537438500776,0.9864840159086945,0.950781171045492,1.5269545651839105
posthoc_latent,1.0,skin_tone_change,30,0,9.659031183135097,6.933199675810813,11.305606630219835,7.207731926650466,12.00563271987699
posthoc_latent,1.0,lightness_change,30,0,-9.437038163839036,3.3262932827486424,-9.490310015204848,-10.613457991957501,-8.29002026646138
