method,n_seeds,mean_spearman,median_spearman,ci_low,ci_high
posthoc_latent,30,0.6714285714285714,0.9880952380952381,0.43412698412698414,0.8777777777777779
prompt_only,30,0.95,1.0,0.8833333333333333,1.0
stepwise_masked,30,0.9233333333333332,0.9999999999999999,0.7833333333333331,0.9966666666666666
stepwise_unmasked,30,0.9333333333333333,1.0,0.8,1.0
