method,direction,target_change,attempted_seeds,complete_seeds,coverage_rate,mean_achieved_change,std_achieved_change,mean_match_distance,median_match_distance
prompt_only,-1,5.0,30,7,0.23333333333333334,7.126655523862754,0.6569307612587084,2.126655523862754,2.226994151828542
prompt_only,1,5.0,30,18,0.6,4.767310960659581,1.5607610119427573,1.3579351378465554,1.4237600516511615
stepwise_masked,-1,5.0,30,19,0.6333333333333333,5.056124815767051,1.6193882020242758,1.3771096163899088,1.301620183197599
stepwise_masked,1,5.0,30,26,0.8666666666666667,5.225483110477442,1.3192943073466317,1.0043040451470238,0.6897680196457046
stepwise_unmasked,-1,5.0,30,13,0.43333333333333335,5.769592218069121,1.110141173649105,1.1610229396547582,1.0756541252954293
stepwise_unmasked,1,5.0,30,15,0.5,5.939106539820382,1.7605031301183092,1.795695172026356,1.679495947845794
