schema_version,study_id,config_fingerprint,seed,method,alpha,generation_complete,evaluation_complete,image_path,face_similarity,landmark_rmse,lpips,background_ssim,overall_ssim,yaw_diff,pitch_diff,roll_diff,total_pose_diff,is_disentangled,overall_score,pass_count,total_count,missing_required_metrics,skin_tone_metric,skin_tone_complete,skin_tone_failure,original_ita,edited_ita,skin_tone_change,lightness_change,original_skin_pixels,edited_skin_pixels,original_white_normalized,edited_white_normalized,run,direction,aligned_change,target_change,match_distance,match_complete
1,skin_tone_steering_confirmatory_v1,6e7e5a62a18ebfe6,500000,prompt_only,-2.0,True,True,images/seed_500000/prompt_only/alpha_m2p000.png,0.968238949775695,,0.12612862884998302,0.9646151067404191,0.8716323076300091,3.908599828279799,3.142614441227997,1.8367713473566651,5.341058614761127,False,0.749136192142671,3,4,[],white_reference_bilateral_cheek_median_cielab_ita_v2,True,,58.15377607656887,67.0984651433268,-8.944689066757938,2.262144735623636,10845,12464,True,True,experiments/runs/confirmatory_cuda,-1,8.944689066757938,5.0,3.944689066757938,False
1,skin_tone_steering_confirmatory_v1,6e7e5a62a18ebfe6,500000,prompt_only,0.2,True,True,images/seed_500000/prompt_only/alpha_p0p200.png,0.9644867181777951,,0.067714013159275,0.9674778933950221,0.9148243041724851,1.821349122852033,0.565945024516965,1.3484249860827031,2.335777459686927,True,0.8637292118738601,4,4,[],white_reference_bilateral_cheek_median_cielab_ita_v2,True,,58.15377607656887,57.43944004262968,0.7143360339391901,1.038547322911952,10845,11040,True,True,experiments/runs/confirmatory_cuda,1,0.7143360339391901,5.0,4.28566396606081,False
1,skin_tone_steering_confirmatory_v1,6e7e5a62a18ebfe6,500000,stepwise_masked,-0.75,True,True,images/seed_500000/stepwise_masked/alpha_m0p750.png,0.9481598138809201,,0.066376313567161,0.9732444682855631,0.9130042717683701,2.649113258945294,1.641172230267413,0.8361338790717491,3.226510066907005,True,0.837894700964759,4,4,[],white_reference_bilateral_cheek_median_cielab_ita_v2,True,,58.15377607656887,67.62592583044845,-9.472149753879584,7.618489058919181,10845,6326,True,True,experiments/runs/confirmatory_cuda,-1,9.472149753879584,5.0,4.4721497538795845,False
1,skin_tone_steering_confirmatory_v1,6e7e5a62a18ebfe6,500000,stepwise_masked,0.375,True,True,images/seed_500000/stepwise_masked/alpha_p0p375.png,0.9662100076675411,,0.18115529417991602,0.9304190974812311,0.833432981657759,3.803688109419996,0.9608737183237561,0.251777694262734,3.931248344182372,True,0.720689573491146,4,4,[],white_reference_bilateral_cheek_median_cielab_ita_v2,True,,58.15377607656887,51.989050912641055,6.1647251639278124,-4.247572081028295,10845,11514,True,True,experiments/runs/confirmatory_cuda,1,6.1647251639278124,5.0,1.1647251639278124,True
1,skin_tone_steering_confirmatory_v1,6e7e5a62a18ebfe6,500000,stepwise_unmasked,-0.75,True,True,images/seed_500000/stepwise_unmasked/alpha_m0p750.png,0.969281911849975,,0.101275585591793,0.9599713325315841,0.8831297704059751,2.450794105231245,2.687424634409417,0.830222570916293,3.730671846883034,True,0.8008104325780661,4,4,[],white_reference_bilateral_cheek_median_cielab_ita_v2,True,,58.15377607656887,69.9419816008045,-11.788205524235629,7.80392797309473,10845,7113,True,True,experiments/runs/confirmatory_cuda,-1,11.788205524235629,5.0,6.788205524235629,False
1,skin_tone_steering_confirmatory_v1,6e7e5a62a18ebfe6,500000,stepwise_unmasked,0.5,True,True,images/seed_500000/stepwise_unmasked/alpha_p0p500.png,0.9935340881347651,,0.24593442678451502,0.9043934184290691,0.7724619134964891,3.1014106938327872,0.7408418534801561,1.474029875929135,3.512884714706696,True,0.6809061641363741,4,4,[],white_reference_bilateral_cheek_median_cielab_ita_v2,True,,58.15377607656887,45.271641429888625,12.882134646680242,-9.931330677821052,10845,12305,True,True,experiments/runs/confirmatory_cuda,1,12.882134646680242,5.0,7.882134646680242,False
1,skin_tone_steering_confirmatory_v1,6e7e5a62a18ebfe6,500001,prompt_only,-2.0,True,True,images/seed_500001/prompt_only/alpha_m2p000.png,0.9938025474548341,,0.37483423948287903,0.962613977325641,0.7270256613565831,1.5905878479356441,1.143135184435687,0.12657914357117,1.962842334850807,False,0.6892583912557031,3,4,[],white_reference_bilateral_cheek_median_cielab_ita_v2,True,,59.933629813394965,72.75338481071127,-12.819754997316302,4.009511261684054,14217,16153,True,True,experiments/runs/confirmatory_cuda,-1,12.819754997316302,5.0,7.819754997316302,False
1,skin_tone_steering_confirmatory_v1,6e7e5a62a18ebfe6,500001,prompt_only,0.2,True,True,images/seed_500001/prompt_only/alpha_p0p200.png,0.9820812344551081,,0.184030398726463,0.9714514391580261,0.8331483792415391,0.7826306935393611,0.22487864755594303,0.683977441212112,1.063440806384427,True,0.806198636945175,4,4,[],white_reference_bilateral_cheek_median_cielab_ita_v2,True,,59.933629813394965,58.38147513040535,1.552154682989616,1.176735456397537,14217,13162,True,True,experiments/runs/confirmatory_cuda,1,1.552154682989616,5.0,3.447845317010384,False
1,skin_tone_steering_confirmatory_v1,6e7e5a62a18ebfe6,500001,stepwise_masked,-1.0,True,True,images/seed_500001/stepwise_masked/alpha_m1p000.png,0.988382816314697,,0.20793652534484802,0.9738794432087671,0.807609380681316,0.28616419015257605,1.006605110915723,3.5427341097247282,3.694063990411427,True,0.7234813793725441,4,4,[],white_reference_bilateral_cheek_median_cielab_ita_v2,True,,59.933629813394965,64.63716270587686,-4.703532892481895,5.457189308197712,14217,5158,True,True,experiments/runs/confirmatory_cuda,-1,4.703532892481895,5.0,0.29646710751810534,True
1,skin_tone_steering_confirmatory_v1,6e7e5a62a18ebfe6,500001,stepwise_masked,0.375,True,True,images/seed_500001/stepwise_masked/alpha_p0p375.png,0.9940191507339471,,0.09577874839305801,0.9874676896198741,0.89318702271126,0.21892138725600002,0.10137091465704401,0.698866513997702,0.7393355398760421,True,0.896325091772415,4,4,[],white_reference_bilateral_cheek_median_cielab_ita_v2,True,,59.933629813394965,57.656172689683316,2.277457123711649,-3.335409512628189,14217,14023,True,True,experiments/runs/confirmatory_cuda,1,2.277457123711649,5.0,2.722542876288351,True
1,skin_tone_steering_confirmatory_v1,6e7e5a62a18ebfe6,500001,stepwise_unmasked,-0.75,True,True,images/seed_500001/stepwise_unmasked/alpha_m0p750.png,0.9852988719940181,,0.22115555405616702,0.9703181193206781,0.7938723851449241,1.188904117375954,1.299306887097431,2.787395898880694,3.297160488097179,True,0.7203412995786901,4,4,[],white_reference_bilateral_cheek_median_cielab_ita_v2,True,,59.933629813394965,65.82533016855331,-5.891700355158342,4.490448232538952,14217,11277,True,True,experiments/runs/confirmatory_cuda,-1,5.891700355158342,5.0,0.891700355158342,True
1,skin_tone_steering_confirmatory_v1,6e7e5a62a18ebfe6,500001,stepwise_unmasked,0.5,True,True,images/seed_500001/stepwise_unmasked/alpha_p0p500.png,0.9463940858840941,,0.23261173069477,0.975175531447884,0.7901777677850641,0.43076816518863004,3.057132166528119,0.395886333467504,3.112610525714265,True,0.70203329301334,4,4,[],white_reference_bilateral_cheek_median_cielab_ita_v2,True,,59.933629813394965,55.71231735799676,4.221312455398205,-5.380718761212648,14217,13159,True,True,experiments/runs/confirmatory_cuda,1,4.221312455398205,5.0,0.7786875446017953,True
1,skin_tone_steering_confirmatory_v1,6e7e5a62a18ebfe6,500002,prompt_only,-2.0,True,True,images/seed_500002/prompt_only/alpha_m2p000.png,0.971357226371765,,0.12170904874801601,0.9800511273958211,0.8900741423840811,0.14427260353145402,2.885634486594861,3.178058859149586,4.2950854574239274,True,0.7754703980127551,4,4,[],white_reference_bilateral_cheek_median_cielab_ita_v2,True,,63.92492891775142,69.90964298177369,-5.984714064022263,1.473823050122021,12057,11854,True,True,experiments/runs/confirmatory_cuda,-1,5.984714064022263,5.0,0.9847140640222634,True
