alpha,face_similarity,landmark_rmse,lpips,background_ssim,overall_ssim,yaw_diff,pitch_diff,roll_diff,total_pose_diff,skin_tone_metric,skin_tone_change,skin_delta_ita,skin_delta_e,skin_lstar_original,skin_lstar_counterfactual,skin_relative_lstar_original,skin_relative_lstar_counterfactual,skin_ita_original,skin_ita_counterfactual,reference_lstar_shift,illumination_stable,target_direction_correct,target_response_pass,preservation_pass,counterfactual_success,is_disentangled,overall_score,pass_count,total_count,evaluation_complete,missing_required_metrics,image
-1.5,0.4760585129261017,,0.2842409312725067,0.85026197781277,0.8032028617853239,1.24330574137619,4.187585647636638,1.2075650021184856,4.532096199020137,relative_cheek_CIELAB_Lstar_v1,16.6015625,27.838496631530745,23.25332150780617,72.442626953125,91.595458984375,-1.690673828125,14.910888671875,44.492517216172885,72.33101384770363,2.55126953125,True,True,True,False,False,False,0.7409147758558161,4,5,True,(),experiments/legacy_reanalysis/counterfactuals/alpha_-1.5.png
-0.8,0.8919981122016907,,0.2426660805940628,0.8520378137624379,0.8336768141399438,0.5742447150793168,0.5555928583938226,0.10753644649122407,0.8062285683469074,relative_cheek_CIELAB_Lstar_v1,10.467529296875,17.63641959192538,14.105404596174921,72.442626953125,85.101318359375,-1.690673828125,8.77685546875,44.492517216172885,62.12893680809827,2.191162109375,True,True,True,True,True,True,0.8867863517330259,5,5,True,(),experiments/legacy_reanalysis/counterfactuals/alpha_-0.8.png
0.8,0.9479474425315857,,0.12871888279914856,0.8939349110100409,0.8636018289534122,1.2269426556792666,1.748495616450441,0.6898768316899009,2.2446726362599505,relative_cheek_CIELAB_Lstar_v1,-14.794921875,-28.970657025477482,16.407605970750463,72.442626953125,56.231689453125,-1.690673828125,-16.485595703125,44.492517216172885,15.521860190695403,-1.416015625,True,True,True,True,True,True,0.9299451962807876,5,5,True,(),experiments/legacy_reanalysis/counterfactuals/alpha_+0.8.png
1.5,0.6890688538551331,,0.19415122270584106,0.8602747382437259,0.789775855412526,0.4964890557063484,4.789643574267075,4.1002905941448375,6.324521318438786,relative_cheek_CIELAB_Lstar_v1,-30.1300048828125,-73.93869593699465,33.637557593949836,72.442626953125,39.0533447265625,-1.690673828125,-31.8206787109375,44.492517216172885,-29.446178720821763,-3.25927734375,True,True,True,False,False,False,0.8188636215359877,3,5,True,(),experiments/legacy_reanalysis/counterfactuals/alpha_+1.5.png
