reference_method,comparator,direction,target_change,outcome,n_pairs,mean_reference_advantage,median_reference_advantage,ci_low,ci_high,p_value,p_holm,direction_label,p_holm_replication_family,parent_n_pairs,parent_mean_reference_advantage,parent_ci_low,parent_ci_high,same_sign_as_parent
stepwise_masked,stepwise_unmasked,-1,5.0,lpips,8,0.0238445075228811,0.022126667201519,0.0049441782757639,0.0414636745350436,0.0555494445055549,0.6110438895611043,lighter,0.0555494445055549,13,0.0234708387691242,0.0128021415967781,0.035987800338234,True
stepwise_masked,stepwise_unmasked,1,5.0,lpips,10,0.0409046314656734,0.034433353692293,0.0176323029957711,0.065490671712905,0.0095899041009589,0.1246687533124668,darker,0.0191798082019178,14,0.0824607211564267,0.0475524942257573,0.1302411589106277,True
