method,alpha,metric,n_seeds,n_missing,mean,std,median,ci_low,ci_high
posthoc_latent,-1.5,skin_tone_change,29,1,-6.90468811204853,5.19625024433738,-8.411708829997153,-8.756508920546304,-5.024535317360711
posthoc_latent,-1.5,lightness_change,29,1,5.73486630500932,3.1916273992008963,5.740581462130521,4.585385332452897,6.881775125515247
posthoc_latent,-1.5,face_similarity,30,0,0.9731377243995664,0.01765001077145114,0.9804456830024715,0.9667489861945308,0.9789439455171425
posthoc_latent,-1.5,landmark_rmse,0,30,,,,,
posthoc_latent,-1.5,lpips,30,0,0.06505562638243,0.009565396368800844,0.06442856788635201,0.061659403244653854,0.0683889206964519
posthoc_latent,-1.5,background_ssim,30,0,0.9534349686348637,0.18051871528397875,0.9901565471595756,0.8848334252492704,0.9896677458618514
posthoc_latent,-1.5,overall_ssim,30,0,0.9238425878830197,0.018751467729150543,0.9250767338858426,0.9171425739425545,0.9303955922320526
posthoc_latent,-1.5,total_pose_diff,30,0,1.8125544966544516,1.1447018286134574,1.494250728685437,1.4512328486635142,2.2572529685893383
posthoc_latent,-1.0,skin_tone_change,30,0,-5.176580380571941,3.2476162034670453,-5.6693296792348775,-6.29622850890192,-4.008570415316834
posthoc_latent,-1.0,lightness_change,30,0,4.448344961268254,2.113729692957045,4.505001369838652,3.711286579799933,5.167292117711889
posthoc_latent,-1.0,face_similarity,30,0,0.9792152643203733,0.014388360067801476,0.9821641743183136,0.973947377403577,0.984002727816502
posthoc_latent,-1.0,landmark_rmse,0,30,,,,,
posthoc_latent,-1.0,lpips,30,0,0.03512177163114101,0.005591882436838733,0.03515690937638251,0.03313928258760483,0.037094034065181414
posthoc_latent,-1.0,background_ssim,30,0,0.9571216397790433,0.18100027942943547,0.9928101147625696,0.8890726159284541,0.9925508913159491
posthoc_latent,-1.0,overall_ssim,30,0,0.943051424408933,0.015115470150317792,0.9436125230365686,0.9376659539278106,0.9483781739755629
posthoc_latent,-1.0,total_pose_diff,30,0,1.7725493843257902,0.9843805270471627,1.514935530166855,1.4555215263498682,2.1381681514827977
posthoc_latent,-0.5,skin_tone_change,30,0,-2.890230367850066,1.7022207598983317,-2.988153714831995,-3.4826249656366204,-2.278252900253235
posthoc_latent,-0.5,lightness_change,30,0,2.627740296448756,1.2185502217381916,2.5550111950176766,2.2026193193048593,3.0393608136934187
posthoc_latent,-0.5,face_similarity,30,0,0.9883608400821683,0.012132732222066227,0.992246001958847,0.9837724982698758,0.9921300271153448
posthoc_latent,-0.5,landmark_rmse,0,30,,,,,
posthoc_latent,-0.5,lpips,30,0,0.011837949013957938,0.0024485050330517624,0.0116679663769895,0.010984667828306031,0.012724235462179495
posthoc_latent,-0.5,background_ssim,30,0,0.9617564384068547,0.18169857133059875,0.9960882116148155,0.8944801220030807,0.9960769833059906
posthoc_latent,-0.5,overall_ssim,30,0,0.9683416591247606,0.009107308109332376,0.9689435619967376,0.9650721410701427,0.971565443976633
posthoc_latent,-0.5,total_pose_diff,30,0,1.3616012906260628,1.0352091975814488,1.0108322166241654,1.017973534712464,1.7443485488493662
posthoc_latent,-0.25,skin_tone_change,30,0,-1.5685072801201456,1.1232625759044792,-1.535012276366096,-1.9663690592574996,-1.1753064392122485
posthoc_latent,-0.25,lightness_change,30,0,1.484390600795558,0.793250713317078,1.519666823655967,1.2080714665792076,1.756313642816456
posthoc_latent,-0.25,face_similarity,30,0,0.9960328817367551,0.005055867955001609,0.9975277185440061,0.9939534527560073,0.9974858510990935
posthoc_latent,-0.25,landmark_rmse,0,30,,,,,
posthoc_latent,-0.25,lpips,30,0,0.004366710673396367,0.0011978817622851456,0.004199273884296001,0.003954201547312106,0.0048108389684538
posthoc_latent,-0.25,background_ssim,30,0,0.9641885665221555,0.18211536785993235,0.9979922046960531,0.8973033537521531,0.9979199292348542
posthoc_latent,-0.25,overall_ssim,30,0,0.9845934046489113,0.004374203470436369,0.9852241205135845,0.983015997448705,0.9861358265772903
