method,direction,target_change,attempted_seeds,complete_seeds,coverage_rate,mean_achieved_change,std_achieved_change,mean_match_distance,median_match_distance
prompt_only,-1,5.0,30,7,0.23333333333333334,6.669378961922431,1.2390057326457227,1.878543521560363,1.937969587612855
prompt_only,1,5.0,30,22,0.7333333333333333,3.8975076247745775,1.3684145371453298,1.5328134394421893,1.628874864088328
stepwise_masked,-1,5.0,30,18,0.6,5.494786976000758,1.6662688889306787,1.4482600936627483,1.2634791413462452
stepwise_masked,1,5.0,30,27,0.9,5.316177927931942,1.4622863454439896,1.2351206135886985,0.9576962706756191
stepwise_unmasked,-1,5.0,30,10,0.3333333333333333,5.692312522207928,1.7097275856872318,1.4902266661527435,1.5917285170802096
stepwise_unmasked,1,5.0,30,10,0.3333333333333333,5.884250247961193,0.8553495574448852,0.9059088323722229,0.5609274338934327
