method,n_seeds,mean_spearman,median_spearman,ci_low,ci_high
posthoc_latent,30,0.9150793650793649,1.0,0.8253968253968255,0.9793650793650793
prompt_only,30,0.9666666666666667,1.0,0.9166666666666666,1.0
stepwise_masked,30,0.9499999999999998,0.9999999999999999,0.9066666666666665,0.9866666666666665
stepwise_unmasked,30,0.9833333333333333,1.0,0.95,1.0
