tolerance_ita,method,direction,target_change,attempted_seeds,complete_seeds,coverage_rate,mean_achieved_change,std_achieved_change,mean_match_distance,median_match_distance
1.0,prompt_only,-1,5.0,30,1,0.03333333333333333,5.984714064022263,,0.9847140640222634,0.9847140640222634
1.0,prompt_only,1,5.0,30,8,0.26666666666666666,5.349114419115905,0.6266123849054767,0.6353067858737518,0.6731889816527072
1.0,stepwise_masked,-1,5.0,30,8,0.26666666666666666,5.290340602361204,0.6331203216912749,0.6180038592058895,0.6172143116035365
1.0,stepwise_masked,1,5.0,30,15,0.5,5.013218994791716,0.494670736459298,0.37812921372500674,0.476276120565295
1.0,stepwise_unmasked,-1,5.0,30,5,0.16666666666666666,5.628695821220239,0.3921103646694792,0.6286958212202393,0.8728114017268922
1.0,stepwise_unmasked,1,5.0,30,2,0.06666666666666667,5.017476455484985,1.1259459267959382,0.79616400008678,0.79616400008678
2.0,prompt_only,-1,5.0,30,3,0.1,6.564839620661883,0.5080958857394011,1.564839620661883,1.7790592515952284
2.0,prompt_only,1,5.0,30,13,0.43333333333333335,4.861876888090034,1.2033540310516246,1.0262625868893316,0.9330710940859674
2.0,stepwise_masked,-1,5.0,30,15,0.5,5.104432667931972,1.2470627023695355,1.0759002201660242,0.9848942798356148
2.0,stepwise_masked,1,5.0,30,22,0.7333333333333333,5.055094010408528,0.954084880648064,0.7280148535372732,0.6070539866485416
2.0,stepwise_unmasked,-1,5.0,30,12,0.4,5.619393305223659,1.0121824220985676,1.0434432536080986,1.0477886502511107
2.0,stepwise_unmasked,1,5.0,30,9,0.3,4.825032367027311,1.369704592239654,1.252680087370602,1.1057678605632688
3.0,prompt_only,-1,5.0,30,7,0.23333333333333334,7.126655523862754,0.6569307612587084,2.126655523862754,2.226994151828542
3.0,prompt_only,1,5.0,30,18,0.6,4.767310960659581,1.5607610119427573,1.3579351378465554,1.4237600516511615
3.0,stepwise_masked,-1,5.0,30,19,0.6333333333333333,5.056124815767051,1.6193882020242758,1.3771096163899088,1.301620183197599
3.0,stepwise_masked,1,5.0,30,26,0.8666666666666667,5.225483110477442,1.3192943073466317,1.0043040451470238,0.6897680196457046
3.0,stepwise_unmasked,-1,5.0,30,13,0.43333333333333335,5.769592218069121,1.110141173649105,1.1610229396547582,1.0756541252954293
3.0,stepwise_unmasked,1,5.0,30,15,0.5,5.939106539820382,1.7605031301183092,1.795695172026356,1.679495947845794
